Year,High income,Low income,Lower middle income,Middle income,Upper middle income
1960,7.515669385,0.192492812,0.375556219,1.116829817,1.689062034
1961,7.567150245,0.181730075,0.39814538,0.960148641,1.405209762
1962,7.817701225,0.190799963,0.419008772,0.900694567,1.28747023
1963,8.15271762,0.18220802,0.44258526,0.908104757,1.282678175
1964,8.463236877,0.203624171,0.447916333,0.931153566,1.319837276
1965,8.733678491,0.207970919,0.483264897,0.987110159,1.392682006
1966,9.017776869,0.220154025,0.497733088,1.040911647,1.477116817
1967,9.325302063,0.216226897,0.491104622,1.00100557,1.410699769
1968,9.734274534,0.340978725,0.516880728,1.06415919,1.503532192
1969,10.24807034,0.29868514,0.533852256,1.158395318,1.658435631
1970,11.03328262,0.266287306,0.562815012,1.301544904,1.891346641
1971,11.13768229,0.295207995,0.586121314,1.386423578,2.024385787
1972,11.57966413,0.265367819,0.605263317,1.431346843,2.090459093
1973,12.07553537,0.285546644,0.632527536,1.498719027,2.191205529
1974,11.67324374,0.286207505,0.648275186,1.518526546,2.216825405
1975,11.19117929,0.289725422,0.655738291,1.600147598,2.361197646
1976,11.70621349,0.301129075,0.672987306,1.66478766,2.468996983
1977,11.85580024,0.306440517,0.706684966,1.742284524,2.588548606
1978,12.06405949,0.310129856,0.716147976,1.846618818,2.77692205
1979,12.28449819,0.374715913,0.753242528,1.886416604,2.827148649
1980,11.92904876,0.356464746,0.765091435,1.861008029,2.779369387
1981,11.35346888,0.387940056,0.783066324,1.833836598,2.722905412
1982,10.84421335,0.364343804,0.791926466,1.906394333,2.856050911
1983,10.74056677,0.393154962,0.804229986,1.936608383,2.909222323
1984,10.95547742,0.422675873,0.812414183,1.993403452,3.015946999
1985,11.00468018,0.404218562,0.850745402,2.077780432,3.14880016
1986,10.96639844,0.400447212,0.87812531,2.128711895,3.228249106
1987,11.190671,0.431781716,0.893415287,2.200276664,3.356089983
1988,11.51918298,0.43226712,0.938899271,2.281539884,3.476647522
1989,11.73029799,0.410450837,0.938891014,2.30500196,3.528698829
1990,11.40256579,0.403865944,0.974921707,2.259349415,3.420846071
1991,11.44965015,0.414956644,1.021855602,2.309377948,3.483195764
1992,11.50932863,0.40343186,1.071748869,2.35507171,3.535704305
1993,11.58590052,0.391409419,1.034059356,2.331535142,3.535259712
1994,11.65241225,0.366116743,0.98274905,2.277811886,3.48927764
1995,11.63254204,0.355171107,1.002484827,2.326794726,3.575836488
1996,11.87024649,0.359479425,1.032156981,2.356292537,3.615498836
1997,11.88071375,0.351557564,1.020339035,2.318528135,3.563275501
1998,11.80473529,0.374582291,0.986724573,2.258827299,3.488911124
1999,11.89902427,0.391253299,1.016394018,2.268336214,3.489353936
2000,12.21457695,0.390480374,1.050694981,2.296463665,3.522137384
2001,12.10082748,0.389194716,1.055010785,2.315535256,3.567018129
2002,12.09654979,0.350072965,1.063199411,2.38419606,3.707893791
2003,12.197177,0.386933205,1.099412858,2.574955342,4.067235717
2004,12.31955177,0.380772973,1.133354934,2.748121501,4.396174971
2005,12.24895408,0.382203046,1.15290478,2.896976875,4.693094523
2006,12.1762852,0.389444127,1.176941072,3.052095154,5.000641866
2007,12.14801073,0.386423175,1.225281256,3.167337855,5.203590808
2008,11.89784796,0.402329479,1.294475649,3.329241862,5.48147221
2009,11.19050653,0.392884367,1.326321174,3.369411295,5.548667647
2010,11.50528875,0.383361369,1.331072622,3.545399768,5.927261545
2011,11.25554577,0.342947302,1.435210055,3.789093431,6.341385101
2012,11.07969568,0.319280067,1.50136841,3.885918141,6.490972742
2013,10.99886564,0.30239589,1.431669895,3.862838255,6.537967469
2014,10.92583151,0.307958345,1.465210654,3.866731892,6.527571821
