Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,0.05,0.05,0.07,0.07,0.09,0.10,0.11,0.12,0.12,0.09,0.15,0.17,0.13,0.14,0.15,0.17,0.15,0.18,0.16,0.17,0.13,0.15,0.16,0.20,0.23,0.29,0.27,0.27,0.25,0.23,0.21,0.18,0.10,0.09,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.06,0.08,0.15,0.24,0.29,0.41,0.35,0.31,0.29
Angola,AGO,0.10,0.08,0.21,0.20,0.21,0.21,0.27,0.17,0.29,0.48,0.61,0.56,0.72,0.75,0.72,0.63,0.45,0.47,0.69,0.68,0.64,0.61,0.52,0.55,0.52,0.47,0.45,0.54,0.46,0.44,0.43,0.42,0.41,0.44,0.29,0.79,0.73,0.50,0.48,0.58,0.58,0.57,0.72,0.50,1.00,0.99,1.11,1.20,1.19,1.23,1.24,1.25,1.33,1.25,1.29
Albania,ALB,1.26,1.37,1.44,1.18,1.11,1.17,1.33,1.36,1.52,1.56,1.75,1.99,2.52,2.30,1.85,1.91,2.01,2.28,2.53,2.90,1.94,2.69,2.62,2.68,2.69,2.66,2.67,2.41,2.33,2.78,1.68,1.31,0.77,0.72,0.60,0.65,0.64,0.49,0.56,0.96,0.98,1.05,1.23,1.41,1.38,1.41,1.30,1.32,1.48,1.50,1.58,1.80,1.69,1.75,1.98
Arab World,ARB,0.65,0.69,0.76,0.88,1.00,1.17,1.28,1.34,1.55,1.80,1.81,2.00,2.12,2.41,2.29,2.20,2.58,2.65,2.76,2.86,3.09,2.93,2.72,2.82,2.98,3.06,3.28,3.20,3.30,3.26,3.02,3.24,3.42,3.67,3.67,3.42,3.33,3.15,3.35,3.33,3.70,3.61,3.60,3.80,4.07,4.19,4.29,4.12,4.41,4.56,4.64,4.56,4.84,4.67,4.89
United Arab Emirates,ARE,0.12,0.11,0.16,0.18,0.13,0.15,0.16,5.40,6.81,101.05,65.02,76.35,70.86,77.62,67.02,56.67,62.16,52.75,53.64,39.29,36.20,33.61,31.65,28.77,35.85,36.54,32.66,31.10,29.73,31.57,28.44,29.43,28.32,30.36,31.87,29.25,16.17,15.59,28.97,26.42,35.92,30.71,24.35,28.78,27.83,25.31,23.37,21.99,22.20,21.21,18.81,18.49,19.29,18.56,22.94
Argentina,ARG,2.38,2.46,2.54,2.33,2.55,2.66,2.81,2.87,2.98,3.29,3.46,3.67,3.66,3.75,3.75,3.67,3.80,3.78,3.79,4.03,3.90,3.60,3.59,3.60,3.58,3.33,3.39,3.69,3.84,3.64,3.44,3.54,3.62,3.47,3.56,3.67,3.83,3.87,3.88,4.03,3.85,3.59,3.31,3.55,4.09,4.17,4.47,4.41,4.72,4.45,4.61,4.64,4.61,4.50,4.78
Antigua and Barbuda,ATG,0.68,0.87,1.84,1.49,1.59,2.56,5.81,9.22,15.84,19.79,7.20,6.61,5.83,5.19,6.80,11.29,6.47,7.49,7.92,6.57,2.31,1.72,4.75,1.37,2.37,4.04,4.04,4.46,4.63,4.61,4.52,4.22,4.10,4.13,3.98,4.01,4.18,4.30,4.36,4.42,4.53,4.51,4.73,5.09,5.25,5.27,5.37,5.59,5.63,5.88,5.96,5.75,5.80,5.73,5.74
Australia,AUS,8.58,8.64,8.84,9.23,9.76,10.62,10.33,10.96,11.21,11.60,11.80,11.81,11.95,12.78,12.56,12.66,12.42,13.23,14.07,14.13,15.02,15.43,15.42,14.64,15.22,15.31,14.98,15.75,15.80,16.52,15.45,15.13,15.32,15.70,15.58,15.60,16.50,16.51,16.94,17.19,17.20,16.73,17.37,16.90,17.03,17.17,17.65,17.87,18.16,18.20,17.74,17.54,17.07,16.10,15.39
Austria,AUT,4.37,4.50,4.76,5.16,5.39,5.25,5.36,5.42,5.71,6.01,6.79,6.95,7.45,7.93,7.56,7.18,7.72,7.43,7.60,8.16,6.93,7.42,7.11,6.87,7.21,7.23,7.14,7.62,7.03,7.10,7.51,7.94,7.23,7.22,7.19,7.52,7.94,7.86,7.98,7.74,7.77,8.19,8.30,8.89,8.86,9.02,8.73,8.41,8.30,7.52,8.07,7.75,7.39,7.37,6.87
Belgium,BEL,9.94,10.10,10.64,11.39,11.05,11.14,11.04,11.22,12.33,12.82,13.01,12.56,13.47,14.26,13.84,12.46,13.24,12.88,13.81,14.24,13.72,12.58,11.93,10.31,10.70,10.60,10.43,10.45,10.14,10.81,10.64,11.09,11.15,10.68,11.11,11.08,11.62,11.33,11.60,11.17,11.23,11.13,10.39,10.88,10.66,10.36,10.15,9.74,9.75,9.25,10.17,9.05,8.56,8.69,8.33
